# emapper version: emapper-1.0.3-35-g63c274b emapper DB: 2.0
# command: ./emapper.py  --cpu 6 -i /data/shared/emapper_jobs/user_data/MM_tux2sy_x/query_seqs.fa --output query_seqs.fa --output_dir /data/shared/emapper_jobs/user_data/MM_tux2sy_x -m diamond -d none --tax_scope auto --go_evidence non-electronic --target_orthologs all --seed_ortholog_evalue 0.001 --seed_ortholog_score 60 --query-cover 20 --subject-cover 0 --override --temp_dir /data/shared/emapper_jobs/user_data/MM_tux2sy_x
# time: Tue May 18 14:43:05 2021
#query_name	seed_eggNOG_ortholog	seed_ortholog_evalue	seed_ortholog_score	best_tax_level	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction
gene3895_1	51337.XP_004651600.1	2.1e-16	92.0	Rodentia													Mammalia	35QA3@314146,3A4A9@33154,3BSMR@33208,3D74P@33213,3JH4W@40674,48EMQ@7711,49BG1@7742,4Q5JB@9989,COG2174@1,KOG1790@2759	NA|NA|NA	J	60S ribosomal protein
gene3895_3	9601.ENSPPYP00000016740	1.7e-31	142.1	Hominidae	RPL34	GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0019538,GO:0022613,GO:0022625,GO:0022626,GO:0032991,GO:0034641,GO:0034645,GO:0042254,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:0071840,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904		ko:K02915	ko03010,map03010	M00177,M00179			br01610,ko00000,ko00001,ko00002,ko03011				Mammalia	35QA3@314146,3A4A9@33154,3BSMR@33208,3D74P@33213,3JH4W@40674,48EMQ@7711,49BG1@7742,4MJKU@9443,4N6XR@9604,COG2174@1,KOG1790@2759	NA|NA|NA	J	Ribosomal protein L34e
gene3895_4	9940.ENSOARP00000005876	8.6e-12	76.6	Mammalia													Mammalia	2FJBD@1,2TKSP@2759,39HWR@33154,3CMQA@33208,3E3BW@33213,3JKA6@40674,48MDW@7711,49I56@7742	NA|NA|NA		
gene3895_6	9940.ENSOARP00000005876	5.5e-17	94.0	Mammalia													Mammalia	2FJBD@1,2TKSP@2759,39HWR@33154,3CMQA@33208,3E3BW@33213,3JKA6@40674,48MDW@7711,49I56@7742	NA|NA|NA		
rna5588_1	109478.XP_005865676.1	1.7e-107	397.1	Chiroptera			2.7.11.1	ko:K08798					ko00000,ko01000,ko01001,ko04812				Mammalia	38DPZ@33154,3BBR0@33208,3CRTT@33213,3JE5W@40674,486UM@7711,4932M@7742,4M0G0@9397,KOG0586@1,KOG0586@2759	NA|NA|NA	T	Serine threonine-protein kinase
rna5589_3	29078.XP_008140185.1	0.0	1699.1	Chiroptera	TRPC7	GO:0000003,GO:0000041,GO:0001775,GO:0003674,GO:0005215,GO:0005216,GO:0005261,GO:0005262,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006816,GO:0006828,GO:0006873,GO:0006874,GO:0006875,GO:0006950,GO:0007338,GO:0007596,GO:0007599,GO:0008150,GO:0008324,GO:0009566,GO:0009611,GO:0009987,GO:0015075,GO:0015085,GO:0015267,GO:0015279,GO:0015318,GO:0016020,GO:0016021,GO:0019725,GO:0019953,GO:0022414,GO:0022803,GO:0022838,GO:0022857,GO:0022890,GO:0030001,GO:0030003,GO:0030168,GO:0031224,GO:0031226,GO:0032501,GO:0034220,GO:0042060,GO:0042592,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0044703,GO:0046873,GO:0048471,GO:0048878,GO:0050801,GO:0050817,GO:0050878,GO:0050896,GO:0051179,GO:0051234,GO:0051480,GO:0051704,GO:0055065,GO:0055074,GO:0055080,GO:0055082,GO:0055085,GO:0065007,GO:0065008,GO:0070588,GO:0070838,GO:0071944,GO:0072503,GO:0072507,GO:0072511,GO:0098655,GO:0098660,GO:0098662,GO:0098771		ko:K04970					ko00000,ko04040	1.A.4.1.2			Mammalia	38BJZ@33154,3B9NF@33208,3CRT8@33213,3J6SG@40674,47ZX4@7711,496KE@7742,4KUM1@9397,KOG3609@1,KOG3609@2759	NA|NA|NA	PT	Belongs to the transient receptor (TC 1.A.4) family
rna5590_3	29078.XP_008140185.1	0.0	1548.1	Chiroptera	TRPC7	GO:0000003,GO:0000041,GO:0001775,GO:0003674,GO:0005215,GO:0005216,GO:0005261,GO:0005262,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006816,GO:0006828,GO:0006873,GO:0006874,GO:0006875,GO:0006950,GO:0007338,GO:0007596,GO:0007599,GO:0008150,GO:0008324,GO:0009566,GO:0009611,GO:0009987,GO:0015075,GO:0015085,GO:0015267,GO:0015279,GO:0015318,GO:0016020,GO:0016021,GO:0019725,GO:0019953,GO:0022414,GO:0022803,GO:0022838,GO:0022857,GO:0022890,GO:0030001,GO:0030003,GO:0030168,GO:0031224,GO:0031226,GO:0032501,GO:0034220,GO:0042060,GO:0042592,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0044703,GO:0046873,GO:0048471,GO:0048878,GO:0050801,GO:0050817,GO:0050878,GO:0050896,GO:0051179,GO:0051234,GO:0051480,GO:0051704,GO:0055065,GO:0055074,GO:0055080,GO:0055082,GO:0055085,GO:0065007,GO:0065008,GO:0070588,GO:0070838,GO:0071944,GO:0072503,GO:0072507,GO:0072511,GO:0098655,GO:0098660,GO:0098662,GO:0098771		ko:K04970					ko00000,ko04040	1.A.4.1.2			Mammalia	38BJZ@33154,3B9NF@33208,3CRT8@33213,3J6SG@40674,47ZX4@7711,496KE@7742,4KUM1@9397,KOG3609@1,KOG3609@2759	NA|NA|NA	PT	Belongs to the transient receptor (TC 1.A.4) family
rna5591_3	9668.ENSMPUP00000009856	0.0	1423.7	Carnivora	TRPC7	GO:0000003,GO:0000041,GO:0001775,GO:0003674,GO:0005215,GO:0005216,GO:0005261,GO:0005262,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006816,GO:0006828,GO:0006873,GO:0006874,GO:0006875,GO:0006950,GO:0007338,GO:0007596,GO:0007599,GO:0008150,GO:0008324,GO:0009566,GO:0009611,GO:0009987,GO:0015075,GO:0015085,GO:0015267,GO:0015279,GO:0015318,GO:0016020,GO:0016021,GO:0019725,GO:0019953,GO:0022414,GO:0022803,GO:0022838,GO:0022857,GO:0022890,GO:0030001,GO:0030003,GO:0030168,GO:0031224,GO:0031226,GO:0032501,GO:0034220,GO:0042060,GO:0042592,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0044703,GO:0046873,GO:0048471,GO:0048878,GO:0050801,GO:0050817,GO:0050878,GO:0050896,GO:0051179,GO:0051234,GO:0051480,GO:0051704,GO:0055065,GO:0055074,GO:0055080,GO:0055082,GO:0055085,GO:0065007,GO:0065008,GO:0070588,GO:0070838,GO:0071944,GO:0072503,GO:0072507,GO:0072511,GO:0098655,GO:0098660,GO:0098662,GO:0098771		ko:K04970					ko00000,ko04040	1.A.4.1.2			Mammalia	38BJZ@33154,3B9NF@33208,3CRT8@33213,3EEQV@33554,3J6SG@40674,47ZX4@7711,496KE@7742,KOG3609@1,KOG3609@2759	NA|NA|NA	PT	Transient receptor potential
rna5593_1	59463.ENSMLUP00000002107	5.1e-259	902.1	Chiroptera	SMAD5	GO:0000003,GO:0000122,GO:0000976,GO:0000977,GO:0000978,GO:0000981,GO:0000987,GO:0001012,GO:0001067,GO:0001227,GO:0001501,GO:0001503,GO:0001649,GO:0001655,GO:0001657,GO:0001822,GO:0001823,GO:0001880,GO:0002051,GO:0002262,GO:0002376,GO:0002520,GO:0003006,GO:0003008,GO:0003012,GO:0003013,GO:0003015,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005829,GO:0006355,GO:0006357,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0006936,GO:0006941,GO:0007154,GO:0007165,GO:0007166,GO:0007167,GO:0007178,GO:0007179,GO:0007275,GO:0007276,GO:0007281,GO:0007389,GO:0007548,GO:0008015,GO:0008150,GO:0008152,GO:0009653,GO:0009719,GO:0009790,GO:0009880,GO:0009888,GO:0009889,GO:0009890,GO:0009891,GO:0009892,GO:0009893,GO:0009987,GO:0010033,GO:0010468,GO:0010556,GO:0010557,GO:0010558,GO:0010604,GO:0010605,GO:0010628,GO:0010629,GO:0014070,GO:0016310,GO:0017151,GO:0019219,GO:0019222,GO:0019538,GO:0019899,GO:0019953,GO:0022412,GO:0022414,GO:0023052,GO:0030097,GO:0030099,GO:0030154,GO:0030218,GO:0030278,GO:0030509,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031328,GO:0031625,GO:0031974,GO:0031981,GO:0032501,GO:0032502,GO:0032504,GO:0032991,GO:0034101,GO:0035295,GO:0036211,GO:0042221,GO:0042592,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043412,GO:0043565,GO:0044212,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044389,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0044703,GO:0045165,GO:0045595,GO:0045597,GO:0045667,GO:0045669,GO:0045778,GO:0045892,GO:0045893,GO:0045934,GO:0045935,GO:0045944,GO:0046661,GO:0048468,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048534,GO:0048609,GO:0048731,GO:0048856,GO:0048869,GO:0048872,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051094,GO:0051171,GO:0051172,GO:0051173,GO:0051216,GO:0051239,GO:0051240,GO:0051252,GO:0051253,GO:0051254,GO:0051704,GO:0051716,GO:0060033,GO:0060047,GO:0060048,GO:0060255,GO:0060348,GO:0060395,GO:0060429,GO:0061448,GO:0065007,GO:0065008,GO:0070013,GO:0070848,GO:0070887,GO:0071310,GO:0071363,GO:0071407,GO:0071495,GO:0071559,GO:0071560,GO:0071704,GO:0071772,GO:0071773,GO:0072001,GO:0072073,GO:0072163,GO:0072164,GO:0080090,GO:0097159,GO:0140110,GO:1901363,GO:1901522,GO:1901564,GO:1902679,GO:1902680,GO:1903506,GO:1903507,GO:1903508,GO:1990837,GO:2000112,GO:2000113,GO:2001141		ko:K16790	ko04350,ko04550,map04350,map04550	M00679			ko00000,ko00001,ko00002				Mammalia	38BD4@33154,3BA66@33208,3CRAN@33213,3JBN2@40674,488YT@7711,494DE@7742,4KQU8@9397,KOG3701@1,KOG3701@2759	NA|NA|NA	K	MH2 domain
rna5592_3	59463.ENSMLUP00000002107	4.6e-259	902.1	Chiroptera	SMAD5	GO:0000003,GO:0000122,GO:0000976,GO:0000977,GO:0000978,GO:0000981,GO:0000987,GO:0001012,GO:0001067,GO:0001227,GO:0001501,GO:0001503,GO:0001649,GO:0001655,GO:0001657,GO:0001822,GO:0001823,GO:0001880,GO:0002051,GO:0002262,GO:0002376,GO:0002520,GO:0003006,GO:0003008,GO:0003012,GO:0003013,GO:0003015,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005829,GO:0006355,GO:0006357,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0006936,GO:0006941,GO:0007154,GO:0007165,GO:0007166,GO:0007167,GO:0007178,GO:0007179,GO:0007275,GO:0007276,GO:0007281,GO:0007389,GO:0007548,GO:0008015,GO:0008150,GO:0008152,GO:0009653,GO:0009719,GO:0009790,GO:0009880,GO:0009888,GO:0009889,GO:0009890,GO:0009891,GO:0009892,GO:0009893,GO:0009987,GO:0010033,GO:0010468,GO:0010556,GO:0010557,GO:0010558,GO:0010604,GO:0010605,GO:0010628,GO:0010629,GO:0014070,GO:0016310,GO:0017151,GO:0019219,GO:0019222,GO:0019538,GO:0019899,GO:0019953,GO:0022412,GO:0022414,GO:0023052,GO:0030097,GO:0030099,GO:0030154,GO:0030218,GO:0030278,GO:0030509,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031328,GO:0031625,GO:0031974,GO:0031981,GO:0032501,GO:0032502,GO:0032504,GO:0032991,GO:0034101,GO:0035295,GO:0036211,GO:0042221,GO:0042592,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043412,GO:0043565,GO:0044212,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044389,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0044703,GO:0045165,GO:0045595,GO:0045597,GO:0045667,GO:0045669,GO:0045778,GO:0045892,GO:0045893,GO:0045934,GO:0045935,GO:0045944,GO:0046661,GO:0048468,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048534,GO:0048609,GO:0048731,GO:0048856,GO:0048869,GO:0048872,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051094,GO:0051171,GO:0051172,GO:0051173,GO:0051216,GO:0051239,GO:0051240,GO:0051252,GO:0051253,GO:0051254,GO:0051704,GO:0051716,GO:0060033,GO:0060047,GO:0060048,GO:0060255,GO:0060348,GO:0060395,GO:0060429,GO:0061448,GO:0065007,GO:0065008,GO:0070013,GO:0070848,GO:0070887,GO:0071310,GO:0071363,GO:0071407,GO:0071495,GO:0071559,GO:0071560,GO:0071704,GO:0071772,GO:0071773,GO:0072001,GO:0072073,GO:0072163,GO:0072164,GO:0080090,GO:0097159,GO:0140110,GO:1901363,GO:1901522,GO:1901564,GO:1902679,GO:1902680,GO:1903506,GO:1903507,GO:1903508,GO:1990837,GO:2000112,GO:2000113,GO:2001141		ko:K16790	ko04350,ko04550,map04350,map04550	M00679			ko00000,ko00001,ko00002				Mammalia	38BD4@33154,3BA66@33208,3CRAN@33213,3JBN2@40674,488YT@7711,494DE@7742,4KQU8@9397,KOG3701@1,KOG3701@2759	NA|NA|NA	K	MH2 domain
